Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
70,16,1,156,7,Some Random Commen with Id 70
71,16,1,122,1,Some Random Commen with Id 71
72,16,1,134,7,Some Random Commen with Id 72
73,16,1,179,3,Some Random Commen with Id 73
74,16,1,31,7,Some Random Commen with Id 74
75,16,1,32,5,Some Random Commen with Id 75
76,17,3,6,4,Some Random Commen with Id 76
77,17,3,155,6,Some Random Commen with Id 77
78,17,3,129,0,Some Random Commen with Id 78
79,17,3,127,1,Some Random Commen with Id 79
80,17,3,34,4,Some Random Commen with Id 80
81,17,3,154,5,Some Random Commen with Id 81
82,17,3,91,9,Some Random Commen with Id 82
83,18,1,43,7,Some Random Commen with Id 83
84,18,1,161,1,Some Random Commen with Id 84
85,18,1,52,3,Some Random Commen with Id 85
86,18,1,143,0,Some Random Commen with Id 86
87,18,1,66,3,Some Random Commen with Id 87
88,18,1,30,9,Some Random Commen with Id 88
89,18,1,14,7,Some Random Commen with Id 89
90,19,0,193,5,Some Random Commen with Id 90
91,19,0,162,6,Some Random Commen with Id 91
92,19,0,140,9,Some Random Commen with Id 92
93,19,0,138,7,Some Random Commen with Id 93
94,19,0,84,7,Some Random Commen with Id 94
95,20,5,51,9,Some Random Commen with Id 95
96,20,5,125,5,Some Random Commen with Id 96
97,20,5,153,4,Some Random Commen with Id 97
98,20,5,194,9,Some Random Commen with Id 98
99,20,5,82,3,Some Random Commen with Id 99
100,22,4,74,9,Some Random Commen with Id 100
101,22,4,145,2,Some Random Commen with Id 101
102,22,4,169,9,Some Random Commen with Id 102
103,22,4,108,0,Some Random Commen with Id 103
104,22,4,6,2,Some Random Commen with Id 104
105,22,4,181,7,Some Random Commen with Id 105
106,22,4,100,6,Some Random Commen with Id 106
107,22,4,0,5,Some Random Commen with Id 107
108,23,3,122,4,Some Random Commen with Id 108
109,23,3,177,7,Some Random Commen with Id 109
110,23,3,75,7,Some Random Commen with Id 110
111,23,3,108,6,Some Random Commen with Id 111
112,23,3,79,5,Some Random Commen with Id 112
113,23,3,140,1,Some Random Commen with Id 113
114,23,3,91,7,Some Random Commen with Id 114
115,26,7,157,2,Some Random Commen with Id 115
116,26,7,182,0,Some Random Commen with Id 116
117,26,7,104,5,Some Random Commen with Id 117
118,26,7,145,0,Some Random Commen with Id 118
119,26,7,51,1,Some Random Commen with Id 119
120,26,7,162,9,Some Random Commen with Id 120
121,26,7,148,7,Some Random Commen with Id 121
122,26,7,104,6,Some Random Commen with Id 122
123,27,1,50,2,Some Random Commen with Id 123
124,28,8,192,6,Some Random Commen with Id 124
125,28,8,55,7,Some Random Commen with Id 125
126,29,6,46,2,Some Random Commen with Id 126
127,29,6,194,4,Some Random Commen with Id 127
128,30,7,196,6,Some Random Commen with Id 128
129,30,7,48,9,Some Random Commen with Id 129
130,30,7,62,2,Some Random Commen with Id 130
131,30,7,168,8,Some Random Commen with Id 131
132,30,7,194,4,Some Random Commen with Id 132
133,30,7,148,8,Some Random Commen with Id 133
134,30,7,152,9,Some Random Commen with Id 134
135,30,7,120,2,Some Random Commen with Id 135
136,31,0,41,0,Some Random Commen with Id 136
137,31,0,174,4,Some Random Commen with Id 137
138,31,0,182,2,Some Random Commen with Id 138
139,31,0,70,9,Some Random Commen with Id 139
140,31,0,199,4,Some Random Commen with Id 140
141,31,0,71,2,Some Random Commen with Id 141
142,31,0,54,9,Some Random Commen with Id 142
143,31,0,60,8,Some Random Commen with Id 143
144,31,0,58,7,Some Random Commen with Id 144
145,32,1,67,9,Some Random Commen with Id 145
146,32,1,84,8,Some Random Commen with Id 146
147,32,1,104,3,Some Random Commen with Id 147
148,32,1,196,1,Some Random Commen with Id 148
149,32,1,43,3,Some Random Commen with Id 149
150,32,1,196,6,Some Random Commen with Id 150
151,32,1,110,9,Some Random Commen with Id 151
152,32,1,160,7,Some Random Commen with Id 152
153,33,2,192,5,Some Random Commen with Id 153
154,33,2,85,0,Some Random Commen with Id 154
155,33,2,114,5,Some Random Commen with Id 155
156,33,2,159,4,Some Random Commen with Id 156
157,33,2,155,4,Some Random Commen with Id 157
158,33,2,11,9,Some Random Commen with Id 158
159,33,2,123,2,Some Random Commen with Id 159
160,34,7,111,7,Some Random Commen with Id 160
161,34,7,26,7,Some Random Commen with Id 161
162,34,7,103,8,Some Random Commen with Id 162
163,34,7,162,5,Some Random Commen with Id 163
164,34,7,143,0,Some Random Commen with Id 164
165,34,7,2,2,Some Random Commen with Id 165
166,34,7,99,8,Some Random Commen with Id 166
167,35,0,180,8,Some Random Commen with Id 167
168,35,0,108,3,Some Random Commen with Id 168
169,35,0,55,1,Some Random Commen with Id 169
170,35,0,53,7,Some Random Commen with Id 170
171,35,0,53,1,Some Random Commen with Id 171
172,35,0,188,7,Some Random Commen with Id 172
173,35,0,181,2,Some Random Commen with Id 173
174,35,0,68,6,Some Random Commen with Id 174
175,35,0,108,8,Some Random Commen with Id 175
176,37,9,0,9,Some Random Commen with Id 176
177,37,9,48,5,Some Random Commen with Id 177
178,37,9,82,7,Some Random Commen with Id 178
179,38,4,167,8,Some Random Commen with Id 179
180,38,4,5,6,Some Random Commen with Id 180
181,38,4,192,1,Some Random Commen with Id 181
182,38,4,91,7,Some Random Commen with Id 182
183,38,4,164,9,Some Random Commen with Id 183
184,38,4,109,5,Some Random Commen with Id 184
185,39,0,157,7,Some Random Commen with Id 185
186,39,0,122,6,Some Random Commen with Id 186
187,39,0,74,3,Some Random Commen with Id 187
188,39,0,146,8,Some Random Commen with Id 188
189,39,0,127,5,Some Random Commen with Id 189
190,39,0,65,3,Some Random Commen with Id 190
191,39,0,40,6,Some Random Commen with Id 191
192,39,0,74,4,Some Random Commen with Id 192
